,Tags,Time,Score
23,Clicking,082.575,"{'Speech': 0.9911, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0009, 'Narration, monologue': 0.0019, 'Speech synthesizer': 0.0003, 'Whispering': 1e-04, 'Musical instrument': 1e-04, 'Door': 1e-04, 'Tap': 1e-04, 'Typing': 0.0006, 'Computer keyboard': 0.0005, 'Writing': 0.0045, 'Mechanisms': 1e-04, 'Clock': 1e-04, 'Tick': 1e-04, 'Tick-tock': 1e-04, 'Tools': 0.0002, 'Wood': 1e-04, 'Liquid': 1e-04, 'Spray': 0.0002, 'Clicking': 0.0007, 'Silence': 0.0002, 'Sound effect': 1e-04, 'Inside, small room': 0.0157, 'Inside, large room or hall': 0.0005, 'Outside, rural or natural': 1e-04, 'Radio': 0.0002}
"
24,Clicking,084.575,"{'Speech': 0.9949, 'Conversation': 1e-04, 'Narration, monologue': 0.0009, 'Speech synthesizer': 1e-04, 'Tools': 1e-04, 'Clicking': 1e-04, 'Silence': 1e-04, 'Inside, small room': 0.0036, 'Inside, large room or hall': 1e-04, 'Outside, rural or natural': 1e-04, 'Radio': 1e-04}
"
25,Clicking,088.575,"{'Speech': 0.9164, 'Conversation': 0.0003, 'Narration, monologue': 0.003, 'Speech synthesizer': 0.0009, 'Whispering': 0.0002, 'Stomach rumble': 1e-04, 'Musical instrument': 1e-04, 'Plucked string instrument': 0.0002, 'Guitar': 0.0002, 'Bass guitar': 1e-04, 'Keyboard (musical)': 1e-04, 'Synthesizer': 1e-04, 'Typing': 1e-04, 'Computer keyboard': 1e-04, 'Effects unit': 1e-04, 'Clicking': 0.0008, 'Hum': 0.0003, 'Silence': 0.0053, 'Inside, small room': 0.0262, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 0.0002, 'Noise': 1e-04, 'Distortion': 1e-04, 'Throbbing': 1e-04, 'Radio': 1e-04}
"
26,Clicking,090.975,"{'Speech': 0.5459, 'Child speech, kid speaking': 0.0009, 'Conversation': 0.0007, 'Narration, monologue': 0.0019, 'Speech synthesizer': 0.0003, 'Whispering': 0.001, 'Breathing': 0.0004, 'Musical instrument': 1e-04, 'Typing': 1e-04, 'Writing': 0.005, 'Clicking': 0.0041, 'Silence': 0.0573, 'Inside, small room': 0.0327, 'Inside, large room or hall': 0.0005}
"
27,Clicking,091.375,"{'Speech': 0.2664, 'Child speech, kid speaking': 0.0003, 'Conversation': 1e-04, 'Narration, monologue': 0.0007, 'Speech synthesizer': 1e-04, 'Breathing': 0.0003, 'Snoring': 0.0002, 'Animal': 0.0006, 'Domestic animals, pets': 0.0003, 'Dog': 0.0002, 'Livestock, farm animals, working animals': 0.0003, 'Pig': 0.0002, 'Oink': 1e-04, 'Wild animals': 1e-04, 'Clicking': 1e-04, 'Silence': 0.2688, 'Inside, small room': 0.0105, 'Inside, large room or hall': 0.0004, 'Outside, rural or natural': 0.0007}
"
28,Clicking,097.375,"{'Speech': 0.998, 'Narration, monologue': 0.0024, 'Speech synthesizer': 0.0004, 'Clicking': 1e-04, 'Inside, small room': 0.0011}
"
29,Clicking,097.775,"{'Speech': 0.9649, 'Conversation': 0.0037, 'Narration, monologue': 0.0113, 'Speech synthesizer': 0.0067, 'Whispering': 1e-04, 'Stomach rumble': 0.0004, 'Musical instrument': 1e-04, 'Plucked string instrument': 0.0005, 'Guitar': 0.0006, 'Electric guitar': 1e-04, 'Bass guitar': 0.0004, 'Acoustic guitar': 1e-04, 'Keyboard (musical)': 1e-04, 'Synthesizer': 1e-04, 'Typing': 1e-04, 'Computer keyboard': 1e-04, 'Effects unit': 0.0003, 'Clicking': 0.0185, 'Silence': 0.0006, 'Inside, small room': 0.0077, 'Inside, large room or hall': 0.0005, 'Distortion': 1e-04, 'Radio': 1e-04}
"
30,Clicking,098.175,"{'Speech': 0.9538, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.001, 'Narration, monologue': 0.0034, 'Speech synthesizer': 0.0041, 'Whispering': 0.0003, 'Stomach rumble': 0.0042, 'Plucked string instrument': 0.0002, 'Guitar': 0.0002, 'Bass guitar': 1e-04, 'Tap': 1e-04, 'Typing': 0.0002, 'Computer keyboard': 0.0002, 'Effects unit': 1e-04, 'Clicking': 0.0071, 'Hum': 1e-04, 'Silence': 0.0007, 'Sound effect': 1e-04, 'Inside, small room': 0.013, 'Inside, large room or hall': 0.001, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0005, 'Noise': 0.0002, 'Radio': 0.0002}
"
31,Clicking,098.575,"{'Speech': 0.9917, 'Conversation': 1e-04, 'Narration, monologue': 0.0015, 'Music': 1e-04, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Clicking': 1e-04, 'Inside, small room': 0.007, 'Inside, large room or hall': 0.0003}
"
32,Clicking,100.175,"{'Speech': 0.9983, 'Conversation': 0.0006, 'Narration, monologue': 0.0047, 'Speech synthesizer': 0.0011, 'Clicking': 1e-04, 'Inside, small room': 0.0108, 'Inside, large room or hall': 0.0003, 'Radio': 0.0007}
"
33,Clicking,102.575,"{'Speech': 0.9977, 'Conversation': 0.0005, 'Narration, monologue': 0.0045, 'Speech synthesizer': 0.0007, 'Clicking': 1e-04, 'Inside, small room': 0.0196, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 1e-04, 'Radio': 0.0002}
"
34,Clicking,106.575,"{'Speech': 0.9926, 'Conversation': 0.0006, 'Narration, monologue': 0.0058, 'Speech synthesizer': 0.0003, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Bowed string instrument': 1e-04, 'Violin, fiddle': 1e-04, 'Clicking': 0.0009, 'Silence': 0.0004, 'Inside, small room': 0.0042, 'Inside, large room or hall': 0.0003, 'Outside, rural or natural': 1e-04, 'Radio': 1e-04}
"
35,Clicking,106.975,"{'Speech': 0.9904, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0003, 'Narration, monologue': 0.0024, 'Clicking': 0.0003, 'Silence': 0.0003, 'Inside, small room': 0.0166, 'Inside, large room or hall': 0.001}
"
36,Clicking,107.375,"{'Speech': 0.9976, 'Conversation': 1e-04, 'Narration, monologue': 0.0044, 'Speech synthesizer': 0.0002, 'Clicking': 1e-04, 'Inside, small room': 0.0036, 'Inside, large room or hall': 1e-04}
"
37,Clicking,110.175,"{'Speech': 0.9976, 'Conversation': 0.0002, 'Narration, monologue': 0.0033, 'Speech synthesizer': 0.0003, 'Clicking': 0.0003, 'Inside, small room': 0.0092, 'Inside, large room or hall': 1e-04}
"
